Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2023,"Wilyer Abreu","BOS",28,85,2,10,14,3,0.105882352,0.270588235,0.157894737,0.431372549,0.315789473,0.388235294,0.47368421,0.3747585051199969,,134.7483527405305,-0.2983627221547067,3.2406793496207484,0.1645326316356659,0.6307179063965049,"Wilyer Abreu",23772,677800
2023,"Nathan Lukes","TOR",29,31,0,4,2,0,0.129032258,0.29032258,0.115384615,0.277777777,0.192307692,0.29032258,0.307692307,0.26593059878195485,,66.42275316518341,-0.04658518731594086,-1.2937945299705225,0.15268373489379883,-0.007601436513489865,"Nathan Lukes",18123,664770
2022,"Conner Capel","- - -",22,59,3,7,11,1,0.084745762,0.169491525,0.211538462,0.31707317,0.307692307,0.355932203,0.519230769,0.3706317715725656,,147.25632387977575,-0.08575062779709697,3.0181735901550613,0.14996033906936646,0.5341021626155465,"Conner Capel",19983,668843
2023,"Garrett Mitchell","MIL",19,73,3,10,7,1,0.09589041,0.356164383,0.2,0.351351351,0.246153846,0.315068493,0.446153846,0.3255529003600552,,103.40890718066245,-0.08930487325415015,0.21898303724853863,0.14543059468269348,0.28366765155763946,"Garrett Mitchell",27555,669003
2022,"Nolan Jones","CLE",28,94,2,10,13,0,0.085106382,0.329787234,0.127906977,0.358490566,0.244186046,0.308510638,0.372093023,0.2972742678016745,,93.78921711646379,-0.7570874742232263,-1.4140514322842113,0.13660788536071777,0.17802651887266815,"Nolan Jones",20529,666134
2022,"Willi Castro","DET",112,392,8,47,31,9,0.038265306,0.209183673,0.126027397,0.287769784,0.24109589,0.283887468,0.367123287,0.28544549594449875,,85.38611951713247,1.8672459810040891,-4.579179421598252,0.1157693862915039,0.8331044621491515,"Willi Castro",17338,650489
2023,"Travis Blankenhorn","WSN",10,37,1,2,1,0,0.162162162,0.162162162,0.096774194,0.166666666,0.161290322,0.297297297,0.258064516,0.2624232027981732,,61.827619297132294,-0.02235581260174513,-1.772079327598592,0.10945644974708557,-0.040433946720084976,"Travis Blankenhorn",18395,663905
2024,"Daniel Schneemann","CLE",73,221,5,17,22,3,0.113122171,0.316742081,0.150259067,0.305785123,0.21761658,0.30316742,0.367875647,0.2952188630988695,,92.69697068290378,-2.794516921043396,-4.641236378876651,0.09978917241096497,0.2918322713035927,"Daniel Schneemann",25180,682177
2023,"Tim Locastro","NYM",43,67,2,13,3,6,0.044776119,0.328358208,0.160714285,0.34375,0.232142857,0.338461538,0.392857142,0.32682320429728584,,108.16727934804287,1.4378355802036822,2.115743442352937,0.09859848022460938,0.44780944901108205,"Tim Locastro",15124,641796
2022,"Jaylin Davis","BOS",12,27,0,4,2,0,0.111111111,0.407407407,0.041666667,0.615384615,0.333333333,0.407407407,0.375,0.3523949826205218,,125.70712548417062,-0.17431851755827665,0.6067418919916137,0.0960368812084198,0.1634503113591569,"Jaylin Davis",19552,664041
2022,"Elier Hernandez","TEX",14,35,0,4,3,0,0.028571428,0.428571428,0.060606061,0.315789473,0.181818181,0.2,0.242424242,0.19277431964874267,,18.795967115481336,-0.09845112031325698,-3.2967053722151745,0.09531372785568237,-0.21990713309306456,"Elier Hernandez",13750,609274
2024,"Jordyn Adams","LAA",11,38,1,4,4,2,0.078947368,0.315789473,0.085714286,0.318181818,0.228571428,0.289473684,0.314285714,0.270762584711376,,72.47865973550982,0.5387741029262543,-0.6578528585960683,0.07779376208782196,0.07091987166470723,"Jordyn Adams",23788,677941
2023,"Austin Meadows","DET",6,21,0,0,2,0,0,0.142857142,0.047619047,0.277777777,0.238095238,0.238095238,0.285714285,0.22732893058231898,,39.51068699607973,-0.04422348644584417,-1.566279113913772,0.06514599919319153,-0.07775592452874121,"Austin Meadows",15672,640457
2024,"Brian Anderson","ATL",3,5,0,0,0,0,0,0.4,0,0,0,0,0,0,,-100,0,-1.2647239791577483,0.05635868012905121,-0.10760096634181555,"Brian Anderson",18289,605119
2022,"Jason Krizan","SFG",3,10,0,0,0,0,0.2,0.3,0,0.2,0.125,0.3,0.125,0.2261338710784912,,43.84423782369968,-0.03819009521976113,-0.6906302648314588,0.04827895015478134,-0.03132435796579754,"Jason Krizan",12394,607249
2023,"Blake Rutherford","WSN",16,36,0,4,2,0,0.027777777,0.277777777,0,0.24,0.171428571,0.194444444,0.171428571,0.16642001767953238,,-2.5313967395866523,-0.010306111071258783,-4.58306004744054,0.038944512605667114,-0.33115726769521064,"Blake Rutherford",19957,666164
2024,"Eli White","ATL",35,42,1,9,4,3,0.023809523,0.285714285,0.153846153,0.384615384,0.282051282,0.333333333,0.435897435,0.3351706110295795,,114.06645140030052,0.42629993706941605,1.1327722151454895,0.03834235668182373,0.26539862339679254,"Eli White",19346,642201
2024,"Griffin Conine","MIA",30,89,3,14,12,0,0.06741573,0.314606741,0.18292683,0.372549019,0.268292682,0.325842696,0.451219512,0.33657811397916815,,113.5846880581979,-0.5025458857417107,0.9432299483126299,0.038042545318603516,0.40743699216639595,"Griffin Conine",21626,665052
2024,"Brendan Donovan","STL",153,652,14,65,73,5,0.072085889,0.124233128,0.139693356,0.299798792,0.277683134,0.342024539,0.41737649,0.33223725133146975,,114.75282700897804,-1.7971007972955704,9.705184357134446,0.035047292709350586,3.248341086745852,"Brendan Donovan",24679,680977
2024,"Greg Jones","COL",6,6,1,1,1,0,0.166666666,0.666666666,0.6,0,0.2,0.333333333,0.8,0.4564569691816966,,183.7883468637626,-0.007892422378063202,0.593275994999612,0.0347389355301857,0.08549546607654299,"Greg Jones",25448,675659
